heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,metric_value_transformed,iqr_distance,outlier_score,outlier_method,metric_name
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_12_calendar_months,-979.9833973,balance,amount,Average balance,-6.888555535161188,3.148272429558224,3.148272429558224,IQR,balance_average
eus_5N8PaeWeHe4xXYDAPgUNYv,balance_average,last_180_days,-745.0152907,balance,amount,Average balance,-6.614746096910592,3.084494820478472,3.084494820478472,IQR,balance_average
eus_5N8PaeWeHe4xXYDAPgUNYv,balance_average,last_365_days,-1728.142045,balance,amount,Average balance,-7.455380636733324,3.2803012959684907,3.2803012959684907,IQR,balance_average
eus_5N8PaeWeHe4xXYDAPgUNYv,balance_average,last_6_calendar_months,-982.9096133,balance,amount,Average balance,-6.891534036430757,3.148966202902298,3.148966202902298,IQR,balance_average
eus_5N8PaeWeHe4xXYDAPgUNYv,balance_average,last_12_calendar_months,-1821.114411,balance,amount,Average balance,-7.507752870030649,3.2925002027819708,3.2925002027819708,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_30_days,-262.3669565,balance,amount,Average balance,-5.573548331553581,2.8419717559781357,2.8419717559781357,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_120_days,-1595.863097,balance,amount,Average balance,-7.3757964194308245,3.2617639835498027,3.2617639835498027,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_180_days,-828.3725434,balance,amount,Average balance,-6.7206694430926355,3.1091672269827173,3.1091672269827173,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_365_days,-1341.322514,balance,amount,Average balance,-7.202156612056498,3.2213185853701107,3.2213185853701107,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_1_calendar_months,-1099.842903,balance,amount,Average balance,-7.003831440801865,3.1751232996131002,3.1751232996131002,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_3_calendar_months,-1854.595435,balance,amount,Average balance,-7.525960912753847,3.2967413474201064,3.2967413474201064,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_6_calendar_months,-1546.596906,balance,amount,Average balance,-7.3444586235997535,3.254464565002711,3.254464565002711,IQR,balance_average
eus_WiEGcmVZj6xyuP5E4TCP5i,balance_average,last_12_calendar_months,-1307.024712,balance,amount,Average balance,-7.176273424805035,3.215289692396922,3.215289692396922,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_30_days,-1588.065517,balance,amount,Average balance,-7.370901397278914,3.260623800759772,3.260623800759772,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_90_days,-1473.368202,balance,amount,Average balance,-7.295984839384036,3.243173712210789,3.243173712210789,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_120_days,-1725.212605,balance,amount,Average balance,-7.453685041925505,3.279906346168726,3.279906346168726,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_180_days,-1917.634525,balance,amount,Average balance,-7.55936902711405,3.304522999036537,3.304522999036537,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_365_days,-2282.956346,balance,amount,Average balance,-7.733664457633526,3.3451211095439053,3.3451211095439053,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_1_calendar_months,-779.2877419,balance,amount,Average balance,-6.659662751528604,3.09495712176984,3.09495712176984,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_3_calendar_months,-1673.403587,balance,amount,Average balance,-7.423212313389409,3.2728084251453105,3.2728084251453105,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_6_calendar_months,-2220.858729,balance,amount,Average balance,-7.706099389870558,3.338700461200752,3.338700461200752,IQR,balance_average
eus_ZATxFJ23WrxaHvTpvYFvJJ,balance_average,last_12_calendar_months,-2410.592658,balance,amount,Average balance,-7.7880426621588,3.357787261203358,3.357787261203358,IQR,balance_average
eus_JGWAtbjWFUYCrAF52rFdP9,balance_average,last_30_days,0.1460148315692046,balance,amount,Average balance,0.1362905602412652,1.5119961529605124,1.5119961529605124,IQR,balance_average
eus_JGWAtbjWFUYCrAF52rFdP9,balance_average,last_1_calendar_months,0.0559955210310835,balance,amount,Average balance,0.054483943827237175,1.531051122121276,1.531051122121276,IQR,balance_average
eus_W7Ngrrz2NLLB6yh6etb22n,balance_average,last_30_days,-2411.76,balance,amount,Average balance,-7.78852659942688,3.3578999832559653,3.3578999832559653,IQR,balance_average
eus_UvXMoN47dWg9A7AJhKGNUp,balance_average,last_30_days,-2266.454643,balance,amount,Average balance,-7.726413178702127,3.343432090947725,3.343432090947725,IQR,balance_average
eus_UvXMoN47dWg9A7AJhKGNUp,balance_average,last_120_days,-20.10576271,balance,amount,Average balance,-3.0495461174111314,2.2540635101612883,2.2540635101612883,IQR,balance_average
eus_HWzcYzTsFbwsiAPWbvpVM3,balance_average,last_365_days,-386.5433056,balance,amount,Average balance,-5.959827598936219,2.931946624149756,2.931946624149756,IQR,balance_average
eus_HWzcYzTsFbwsiAPWbvpVM3,balance_average,last_12_calendar_months,-355.341726,balance,amount,Average balance,-5.875890174932705,2.9123953323847216,2.9123953323847216,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_30_days,-675.0239286,balance,amount,Average balance,-6.516228472753771,3.0615474065358272,3.0615474065358272,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_90_days,-4841.54625,balance,amount,Average balance,-8.485195946087375,3.5201730792202244,3.5201730792202244,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_120_days,-6711.493305,balance,amount,Average balance,-8.811725741423698,3.596230682540646,3.596230682540646,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_180_days,-9327.868876,balance,amount,Average balance,-9.140869051336402,3.6728970439522484,3.6728970439522484,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_365_days,-8472.128264,balance,amount,Average balance,-9.044655054051548,3.650486206889657,3.650486206889657,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_3_calendar_months,-9007.950435,balance,amount,Average balance,-9.105973854915804,3.664769010783292,3.664769010783292,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_6_calendar_months,-12463.65906,balance,amount,Average balance,-9.430652643798593,3.740395464736651,3.740395464736651,IQR,balance_average
eus_PpPSzV9o8G6ehA3oeFMzXF,balance_average,last_12_calendar_months,-8963.585479,balance,amount,Average balance,-9.101037147268062,3.6636191183160705,3.6636191183160705,IQR,balance_average
eus_mpEDESSAAgK5eg3PiPPzqX,balance_average,last_30_days,-3145.153333,balance,amount,Average balance,-8.053935821464208,3.4197209552334384,3.4197209552334384,IQR,balance_average
eus_3zDfCHiynCzTFCMTmWGsHs,balance_average,last_30_days,-1142.254545,balance,amount,Average balance,-7.041634338038682,3.183928614789435,3.183928614789435,IQR,balance_average
eus_3zDfCHiynCzTFCMTmWGsHs,balance_average,last_365_days,-132.667619,balance,amount,Average balance,-4.895356263301358,2.6840025169105184,2.6840025169105184,IQR,balance_average
eus_3zDfCHiynCzTFCMTmWGsHs,balance_average,last_12_calendar_months,-49.94926027,balance,amount,Average balance,-3.9308302408194695,2.4593383709185983,2.4593383709185983,IQR,balance_average
eus_NSUo9GFnExNghq3MJxJ97N,balance_average,last_365_days,-353.574,balance,amount,Average balance,-5.870917068898897,2.9112369617508866,2.9112369617508866,IQR,balance_average
eus_NSUo9GFnExNghq3MJxJ97N,balance_average,last_12_calendar_months,-339.0415198,balance,amount,Average balance,-5.829067727213349,2.9014891204371662,2.9014891204371662,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_30_days,-2149.268966,balance,amount,Average balance,-7.673348213762414,3.3310718282358955,3.3310718282358955,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_90_days,-2575.775955,balance,amount,Average balance,-7.8542942666322535,3.373219048208257,3.373219048208257,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_120_days,-3118.059832,balance,amount,Average balance,-8.045286899495308,3.4177063878473826,3.4177063878473826,IQR,balance_average
