heron_id,metric_label,metric_date_range,metric_value
eus_264GctgNhcqHemTqT2DgGy,revenue_profit_and_loss,last_12_calendar_months,500237.54
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue_profit_and_loss,last_12_calendar_months,500237.54
eus_264GctgNhcqHemTqT2DgGy,cogs_profit_and_loss,last_12_calendar_months,53396.33
eus_264GctgNhcqHemTqT2DgGy,opex_profit_and_loss,last_12_calendar_months,65466.57
eus_264GctgNhcqHemTqT2DgGy,revenue_monthly_average,last_12_calendar_months,41686.46166666667
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_daily_average,last_30_days,2609.711
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_daily_average,last_30_days,2469.645
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_daily_average,last_90_days,1128.1102222222223
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_daily_average,last_90_days,979.14866666666671
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_daily_average,last_120_days,906.59991666666667
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_daily_average,last_120_days,805.08841666666672
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_daily_average,last_180_days,1319.5115
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_daily_average,last_180_days,1199.2453888888888
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_daily_average,last_365_days,1108.0616438356165
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_daily_average,last_365_days,936.5976438356164
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow,last_1_calendar_months,3477.44
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow,last_1_calendar_months,-2418.22
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_profit_and_loss,last_1_calendar_months,3477.44
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_profit_and_loss,last_1_calendar_months,-2418.22
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow,last_3_calendar_months,28474.08
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow,last_3_calendar_months,16794.68
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_profit_and_loss,last_3_calendar_months,28474.08
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_profit_and_loss,last_3_calendar_months,16794.68
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow,last_6_calendar_months,161696.07
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow,last_6_calendar_months,126789.2
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_profit_and_loss,last_6_calendar_months,161696.07
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_profit_and_loss,last_6_calendar_months,126789.2
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow,last_12_calendar_months,446841.21
